nohup: ignoring input
/home/tanguy/5A/MLChallenge/venvMLChallenge/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
cuda
Mean: tensor([0.5652, 0.4507, 0.4434])
Std: tensor([0.2005, 0.1882, 0.1902])
Epoch [47/800], Training Loss: 0.7882, Training Accuracy: 69.55%, Validation Accuracy: 67.81%
Epoch [48/800], Training Loss: 0.8022, Training Accuracy: 69.55%, Validation Accuracy: 67.81%
Epoch [49/800], Training Loss: 0.7992, Training Accuracy: 70.72%, Validation Accuracy: 70.55%
Epoch [50/800], Training Loss: 0.7804, Training Accuracy: 71.01%, Validation Accuracy: 66.44%
Epoch [51/800], Training Loss: 0.7772, Training Accuracy: 70.72%, Validation Accuracy: 67.81%
Epoch [52/800], Training Loss: 0.7710, Training Accuracy: 69.11%, Validation Accuracy: 66.44%
Epoch [53/800], Training Loss: 0.8053, Training Accuracy: 68.96%, Validation Accuracy: 69.18%
Epoch [54/800], Training Loss: 0.7702, Training Accuracy: 71.74%, Validation Accuracy: 67.81%
Epoch [55/800], Training Loss: 0.7520, Training Accuracy: 71.60%, Validation Accuracy: 72.60%
Epoch [56/800], Training Loss: 0.7526, Training Accuracy: 71.30%, Validation Accuracy: 67.12%
Epoch [57/800], Training Loss: 0.7424, Training Accuracy: 71.01%, Validation Accuracy: 69.18%
Epoch [58/800], Training Loss: 0.7209, Training Accuracy: 73.50%, Validation Accuracy: 69.18%
Epoch [59/800], Training Loss: 0.7354, Training Accuracy: 72.04%, Validation Accuracy: 67.12%
Epoch [60/800], Training Loss: 0.7053, Training Accuracy: 72.18%, Validation Accuracy: 70.55%
Epoch [61/800], Training Loss: 0.7109, Training Accuracy: 73.35%, Validation Accuracy: 70.55%
Epoch [62/800], Training Loss: 0.7012, Training Accuracy: 70.86%, Validation Accuracy: 68.49%
Epoch [63/800], Training Loss: 0.6984, Training Accuracy: 73.79%, Validation Accuracy: 69.86%
Epoch [64/800], Training Loss: 0.7185, Training Accuracy: 71.45%, Validation Accuracy: 70.55%
Epoch [65/800], Training Loss: 0.7138, Training Accuracy: 74.96%, Validation Accuracy: 69.18%
Epoch [66/800], Training Loss: 0.7063, Training Accuracy: 73.94%, Validation Accuracy: 70.55%
Epoch [67/800], Training Loss: 0.6497, Training Accuracy: 73.94%, Validation Accuracy: 64.38%
Epoch [68/800], Training Loss: 0.6934, Training Accuracy: 72.77%, Validation Accuracy: 67.12%
Epoch [69/800], Training Loss: 0.6502, Training Accuracy: 74.52%, Validation Accuracy: 66.44%
Epoch [70/800], Training Loss: 0.6998, Training Accuracy: 73.79%, Validation Accuracy: 68.49%
Epoch [71/800], Training Loss: 0.6635, Training Accuracy: 74.23%, Validation Accuracy: 70.55%
Epoch [72/800], Training Loss: 0.6388, Training Accuracy: 75.55%, Validation Accuracy: 67.81%
Epoch [73/800], Training Loss: 0.6897, Training Accuracy: 72.62%, Validation Accuracy: 69.86%
Epoch [74/800], Training Loss: 0.6604, Training Accuracy: 75.26%, Validation Accuracy: 68.49%
Epoch [75/800], Training Loss: 0.6242, Training Accuracy: 75.99%, Validation Accuracy: 71.23%
Epoch [76/800], Training Loss: 0.6595, Training Accuracy: 74.96%, Validation Accuracy: 70.55%
Epoch [77/800], Training Loss: 0.6322, Training Accuracy: 75.11%, Validation Accuracy: 72.60%
Epoch [78/800], Training Loss: 0.5958, Training Accuracy: 77.60%, Validation Accuracy: 69.86%
Epoch [79/800], Training Loss: 0.6362, Training Accuracy: 73.06%, Validation Accuracy: 73.29%
Epoch [80/800], Training Loss: 0.6200, Training Accuracy: 78.18%, Validation Accuracy: 70.55%
Epoch [81/800], Training Loss: 0.6063, Training Accuracy: 76.43%, Validation Accuracy: 69.86%
Epoch [82/800], Training Loss: 0.6175, Training Accuracy: 77.60%, Validation Accuracy: 71.92%
Epoch [83/800], Training Loss: 0.5941, Training Accuracy: 78.92%, Validation Accuracy: 71.92%
Epoch [84/800], Training Loss: 0.5586, Training Accuracy: 78.04%, Validation Accuracy: 71.92%
Epoch [85/800], Training Loss: 0.6059, Training Accuracy: 77.01%, Validation Accuracy: 71.23%
Epoch [86/800], Training Loss: 0.5728, Training Accuracy: 77.01%, Validation Accuracy: 73.97%
Epoch [87/800], Training Loss: 0.6145, Training Accuracy: 77.01%, Validation Accuracy: 70.55%
Epoch [88/800], Training Loss: 0.5711, Training Accuracy: 78.48%, Validation Accuracy: 72.60%
Epoch [89/800], Training Loss: 0.5880, Training Accuracy: 78.04%, Validation Accuracy: 69.18%
Epoch [90/800], Training Loss: 0.5605, Training Accuracy: 79.36%, Validation Accuracy: 71.92%
Epoch [91/800], Training Loss: 0.5894, Training Accuracy: 77.75%, Validation Accuracy: 71.23%
Epoch [92/800], Training Loss: 0.5854, Training Accuracy: 78.18%, Validation Accuracy: 70.55%
Epoch [93/800], Training Loss: 0.5698, Training Accuracy: 80.38%, Validation Accuracy: 70.55%
Epoch [94/800], Training Loss: 0.5515, Training Accuracy: 79.94%, Validation Accuracy: 69.86%
Epoch [95/800], Training Loss: 0.5499, Training Accuracy: 79.36%, Validation Accuracy: 70.55%
Epoch [96/800], Training Loss: 0.6206, Training Accuracy: 75.26%, Validation Accuracy: 71.92%
Epoch [97/800], Training Loss: 0.5001, Training Accuracy: 80.53%, Validation Accuracy: 70.55%
Epoch [98/800], Training Loss: 0.5314, Training Accuracy: 81.26%, Validation Accuracy: 71.92%
Epoch [99/800], Training Loss: 0.5522, Training Accuracy: 78.04%, Validation Accuracy: 70.55%
Epoch [100/800], Training Loss: 0.4874, Training Accuracy: 81.55%, Validation Accuracy: 73.29%
Epoch [101/800], Training Loss: 0.5552, Training Accuracy: 78.62%, Validation Accuracy: 73.29%
Epoch [102/800], Training Loss: 0.5668, Training Accuracy: 78.48%, Validation Accuracy: 71.23%
Epoch [103/800], Training Loss: 0.5308, Training Accuracy: 78.62%, Validation Accuracy: 71.23%
Epoch [104/800], Training Loss: 0.5178, Training Accuracy: 77.75%, Validation Accuracy: 71.23%
Epoch [105/800], Training Loss: 0.5205, Training Accuracy: 80.09%, Validation Accuracy: 70.55%
Epoch [106/800], Training Loss: 0.5043, Training Accuracy: 82.28%, Validation Accuracy: 70.55%
Epoch [107/800], Training Loss: 0.4870, Training Accuracy: 82.28%, Validation Accuracy: 73.97%
Epoch [108/800], Training Loss: 0.4795, Training Accuracy: 81.26%, Validation Accuracy: 74.66%
Epoch [109/800], Training Loss: 0.5112, Training Accuracy: 80.97%, Validation Accuracy: 72.60%
Epoch [110/800], Training Loss: 0.5354, Training Accuracy: 80.82%, Validation Accuracy: 70.55%
Epoch [111/800], Training Loss: 0.5000, Training Accuracy: 80.38%, Validation Accuracy: 73.97%
Epoch [112/800], Training Loss: 0.4851, Training Accuracy: 81.55%, Validation Accuracy: 72.60%
Epoch [113/800], Training Loss: 0.4172, Training Accuracy: 84.92%, Validation Accuracy: 71.92%
Epoch [114/800], Training Loss: 0.5407, Training Accuracy: 78.62%, Validation Accuracy: 74.66%
Epoch [115/800], Training Loss: 0.4804, Training Accuracy: 82.14%, Validation Accuracy: 73.97%
Epoch [116/800], Training Loss: 0.4982, Training Accuracy: 81.99%, Validation Accuracy: 72.60%
Epoch [117/800], Training Loss: 0.4554, Training Accuracy: 83.02%, Validation Accuracy: 73.29%
Epoch [118/800], Training Loss: 0.4660, Training Accuracy: 81.55%, Validation Accuracy: 73.29%
Epoch [119/800], Training Loss: 0.4664, Training Accuracy: 84.19%, Validation Accuracy: 72.60%
Epoch [120/800], Training Loss: 0.5133, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [121/800], Training Loss: 0.4680, Training Accuracy: 81.84%, Validation Accuracy: 73.29%
Epoch [122/800], Training Loss: 0.4285, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [123/800], Training Loss: 0.4490, Training Accuracy: 83.46%, Validation Accuracy: 72.60%
Epoch [124/800], Training Loss: 0.4056, Training Accuracy: 84.19%, Validation Accuracy: 72.60%
Epoch [125/800], Training Loss: 0.4575, Training Accuracy: 82.72%, Validation Accuracy: 71.92%
Epoch [126/800], Training Loss: 0.5106, Training Accuracy: 80.67%, Validation Accuracy: 73.29%
Epoch [127/800], Training Loss: 0.4390, Training Accuracy: 84.33%, Validation Accuracy: 72.60%
Epoch [128/800], Training Loss: 0.3973, Training Accuracy: 84.63%, Validation Accuracy: 73.97%
Epoch [129/800], Training Loss: 0.4314, Training Accuracy: 84.04%, Validation Accuracy: 71.92%
Epoch [130/800], Training Loss: 0.4217, Training Accuracy: 84.92%, Validation Accuracy: 72.60%
Epoch [131/800], Training Loss: 0.4091, Training Accuracy: 83.75%, Validation Accuracy: 72.60%
Epoch [132/800], Training Loss: 0.4469, Training Accuracy: 84.04%, Validation Accuracy: 73.29%
Epoch [133/800], Training Loss: 0.4289, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [134/800], Training Loss: 0.4426, Training Accuracy: 82.14%, Validation Accuracy: 72.60%
Epoch [135/800], Training Loss: 0.4547, Training Accuracy: 81.55%, Validation Accuracy: 72.60%
Epoch [136/800], Training Loss: 0.4655, Training Accuracy: 83.46%, Validation Accuracy: 73.29%
Epoch [137/800], Training Loss: 0.4553, Training Accuracy: 83.75%, Validation Accuracy: 73.97%
Epoch [138/800], Training Loss: 0.4430, Training Accuracy: 82.58%, Validation Accuracy: 72.60%
Epoch [139/800], Training Loss: 0.4179, Training Accuracy: 83.16%, Validation Accuracy: 72.60%
Epoch [140/800], Training Loss: 0.4676, Training Accuracy: 82.43%, Validation Accuracy: 73.29%
Epoch [141/800], Training Loss: 0.4666, Training Accuracy: 82.87%, Validation Accuracy: 72.60%
Epoch [142/800], Training Loss: 0.4446, Training Accuracy: 83.46%, Validation Accuracy: 72.60%
Epoch [143/800], Training Loss: 0.4831, Training Accuracy: 82.43%, Validation Accuracy: 73.29%
Epoch [144/800], Training Loss: 0.4686, Training Accuracy: 82.87%, Validation Accuracy: 72.60%
Epoch [145/800], Training Loss: 0.4853, Training Accuracy: 82.72%, Validation Accuracy: 72.60%
Epoch [146/800], Training Loss: 0.4196, Training Accuracy: 84.04%, Validation Accuracy: 73.29%
Epoch [147/800], Training Loss: 0.4379, Training Accuracy: 84.04%, Validation Accuracy: 73.97%
Epoch [148/800], Training Loss: 0.4430, Training Accuracy: 84.19%, Validation Accuracy: 73.29%
Epoch [149/800], Training Loss: 0.4485, Training Accuracy: 83.89%, Validation Accuracy: 73.29%
Epoch [150/800], Training Loss: 0.4134, Training Accuracy: 83.16%, Validation Accuracy: 72.60%
Epoch [151/800], Training Loss: 0.4473, Training Accuracy: 83.16%, Validation Accuracy: 73.29%
Epoch [152/800], Training Loss: 0.4537, Training Accuracy: 82.87%, Validation Accuracy: 72.60%
Epoch [153/800], Training Loss: 0.4278, Training Accuracy: 83.60%, Validation Accuracy: 73.29%
Epoch [154/800], Training Loss: 0.4185, Training Accuracy: 83.60%, Validation Accuracy: 73.29%
Epoch [155/800], Training Loss: 0.4579, Training Accuracy: 82.58%, Validation Accuracy: 72.60%
Epoch [156/800], Training Loss: 0.3815, Training Accuracy: 86.24%, Validation Accuracy: 73.29%
Epoch [157/800], Training Loss: 0.4253, Training Accuracy: 83.02%, Validation Accuracy: 73.97%
Epoch [158/800], Training Loss: 0.4636, Training Accuracy: 83.31%, Validation Accuracy: 72.60%
Epoch [159/800], Training Loss: 0.4436, Training Accuracy: 84.33%, Validation Accuracy: 73.97%
Epoch [160/800], Training Loss: 0.4196, Training Accuracy: 84.77%, Validation Accuracy: 72.60%
Epoch [161/800], Training Loss: 0.4653, Training Accuracy: 81.99%, Validation Accuracy: 73.97%
Epoch [162/800], Training Loss: 0.4355, Training Accuracy: 83.02%, Validation Accuracy: 73.29%
Epoch [163/800], Training Loss: 0.4481, Training Accuracy: 81.70%, Validation Accuracy: 72.60%
Epoch [164/800], Training Loss: 0.4430, Training Accuracy: 84.19%, Validation Accuracy: 73.29%
Epoch [165/800], Training Loss: 0.4652, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [166/800], Training Loss: 0.4403, Training Accuracy: 83.46%, Validation Accuracy: 72.60%
Epoch [167/800], Training Loss: 0.4476, Training Accuracy: 81.70%, Validation Accuracy: 73.29%
Epoch [168/800], Training Loss: 0.4475, Training Accuracy: 81.26%, Validation Accuracy: 73.29%
Epoch [169/800], Training Loss: 0.4334, Training Accuracy: 84.48%, Validation Accuracy: 73.29%
Epoch [170/800], Training Loss: 0.4327, Training Accuracy: 84.77%, Validation Accuracy: 72.60%
Epoch [171/800], Training Loss: 0.4697, Training Accuracy: 82.72%, Validation Accuracy: 71.92%
Epoch [172/800], Training Loss: 0.4612, Training Accuracy: 82.14%, Validation Accuracy: 71.92%
Epoch [173/800], Training Loss: 0.4356, Training Accuracy: 83.89%, Validation Accuracy: 72.60%
Epoch [174/800], Training Loss: 0.4568, Training Accuracy: 82.43%, Validation Accuracy: 72.60%
Epoch [175/800], Training Loss: 0.3993, Training Accuracy: 84.92%, Validation Accuracy: 71.92%
Epoch [176/800], Training Loss: 0.4403, Training Accuracy: 83.75%, Validation Accuracy: 73.29%
Epoch [177/800], Training Loss: 0.4109, Training Accuracy: 84.92%, Validation Accuracy: 73.29%
Epoch [178/800], Training Loss: 0.4602, Training Accuracy: 81.55%, Validation Accuracy: 72.60%
Epoch [179/800], Training Loss: 0.4438, Training Accuracy: 80.97%, Validation Accuracy: 72.60%
Epoch [180/800], Training Loss: 0.4345, Training Accuracy: 83.46%, Validation Accuracy: 73.29%
Epoch [181/800], Training Loss: 0.4739, Training Accuracy: 82.43%, Validation Accuracy: 72.60%
Epoch [182/800], Training Loss: 0.4646, Training Accuracy: 83.46%, Validation Accuracy: 72.60%
Epoch [183/800], Training Loss: 0.4466, Training Accuracy: 81.99%, Validation Accuracy: 72.60%
Epoch [184/800], Training Loss: 0.4555, Training Accuracy: 83.89%, Validation Accuracy: 72.60%
Epoch [185/800], Training Loss: 0.4583, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [186/800], Training Loss: 0.4361, Training Accuracy: 85.07%, Validation Accuracy: 71.92%
Epoch [187/800], Training Loss: 0.4300, Training Accuracy: 83.89%, Validation Accuracy: 73.29%
Epoch [188/800], Training Loss: 0.4353, Training Accuracy: 83.75%, Validation Accuracy: 73.29%
Epoch [189/800], Training Loss: 0.4326, Training Accuracy: 83.89%, Validation Accuracy: 73.29%
Epoch [190/800], Training Loss: 0.4500, Training Accuracy: 83.16%, Validation Accuracy: 73.29%
Epoch [191/800], Training Loss: 0.4209, Training Accuracy: 83.02%, Validation Accuracy: 72.60%
Epoch [192/800], Training Loss: 0.4618, Training Accuracy: 84.92%, Validation Accuracy: 73.29%
Epoch [193/800], Training Loss: 0.4370, Training Accuracy: 83.31%, Validation Accuracy: 73.29%
Epoch [194/800], Training Loss: 0.4730, Training Accuracy: 81.99%, Validation Accuracy: 73.29%
Epoch [195/800], Training Loss: 0.4592, Training Accuracy: 83.89%, Validation Accuracy: 73.97%
Epoch [196/800], Training Loss: 0.4407, Training Accuracy: 81.70%, Validation Accuracy: 71.92%
Epoch [197/800], Training Loss: 0.4771, Training Accuracy: 82.58%, Validation Accuracy: 72.60%
Epoch [198/800], Training Loss: 0.4399, Training Accuracy: 84.48%, Validation Accuracy: 73.97%
Epoch [199/800], Training Loss: 0.4542, Training Accuracy: 84.33%, Validation Accuracy: 73.29%
Epoch [200/800], Training Loss: 0.4370, Training Accuracy: 83.89%, Validation Accuracy: 72.60%
Epoch [201/800], Training Loss: 0.4425, Training Accuracy: 84.04%, Validation Accuracy: 71.92%
Epoch [202/800], Training Loss: 0.3931, Training Accuracy: 86.97%, Validation Accuracy: 73.29%
Epoch [203/800], Training Loss: 0.4505, Training Accuracy: 82.58%, Validation Accuracy: 73.29%
Epoch [204/800], Training Loss: 0.4452, Training Accuracy: 82.58%, Validation Accuracy: 71.92%
Epoch [205/800], Training Loss: 0.4422, Training Accuracy: 84.77%, Validation Accuracy: 73.29%
Epoch [206/800], Training Loss: 0.4168, Training Accuracy: 85.36%, Validation Accuracy: 72.60%
Epoch [207/800], Training Loss: 0.4549, Training Accuracy: 83.46%, Validation Accuracy: 72.60%
Epoch [208/800], Training Loss: 0.4179, Training Accuracy: 84.04%, Validation Accuracy: 73.29%
Epoch [209/800], Training Loss: 0.4527, Training Accuracy: 83.89%, Validation Accuracy: 73.29%
Epoch [210/800], Training Loss: 0.4334, Training Accuracy: 83.31%, Validation Accuracy: 73.29%
Epoch [211/800], Training Loss: 0.4398, Training Accuracy: 83.89%, Validation Accuracy: 73.97%
Epoch [212/800], Training Loss: 0.5092, Training Accuracy: 79.80%, Validation Accuracy: 72.60%
Epoch [213/800], Training Loss: 0.4488, Training Accuracy: 83.16%, Validation Accuracy: 72.60%
Epoch [214/800], Training Loss: 0.4434, Training Accuracy: 82.87%, Validation Accuracy: 73.29%
Epoch [215/800], Training Loss: 0.4079, Training Accuracy: 85.80%, Validation Accuracy: 73.29%
Epoch [216/800], Training Loss: 0.4434, Training Accuracy: 83.02%, Validation Accuracy: 72.60%
Epoch [217/800], Training Loss: 0.4853, Training Accuracy: 81.55%, Validation Accuracy: 72.60%
Epoch [218/800], Training Loss: 0.4676, Training Accuracy: 83.60%, Validation Accuracy: 72.60%
Epoch [219/800], Training Loss: 0.4297, Training Accuracy: 84.48%, Validation Accuracy: 71.92%
Epoch [220/800], Training Loss: 0.4375, Training Accuracy: 83.60%, Validation Accuracy: 73.29%
Epoch [221/800], Training Loss: 0.4223, Training Accuracy: 83.31%, Validation Accuracy: 73.29%
Epoch [222/800], Training Loss: 0.4252, Training Accuracy: 85.07%, Validation Accuracy: 73.29%
Epoch [223/800], Training Loss: 0.4106, Training Accuracy: 83.89%, Validation Accuracy: 72.60%
Epoch [224/800], Training Loss: 0.4361, Training Accuracy: 83.02%, Validation Accuracy: 72.60%
Epoch [225/800], Training Loss: 0.4361, Training Accuracy: 83.60%, Validation Accuracy: 71.92%
Epoch [226/800], Training Loss: 0.4498, Training Accuracy: 83.60%, Validation Accuracy: 73.29%
Epoch [227/800], Training Loss: 0.4521, Training Accuracy: 82.58%, Validation Accuracy: 71.92%
Epoch [228/800], Training Loss: 0.4416, Training Accuracy: 82.72%, Validation Accuracy: 71.92%
Epoch [229/800], Training Loss: 0.4350, Training Accuracy: 81.70%, Validation Accuracy: 72.60%
Epoch [230/800], Training Loss: 0.4246, Training Accuracy: 84.04%, Validation Accuracy: 73.29%
Epoch [231/800], Training Loss: 0.4533, Training Accuracy: 83.46%, Validation Accuracy: 73.29%
Epoch [232/800], Training Loss: 0.4140, Training Accuracy: 83.46%, Validation Accuracy: 73.29%
Epoch [233/800], Training Loss: 0.4476, Training Accuracy: 84.92%, Validation Accuracy: 73.97%
Epoch [234/800], Training Loss: 0.4673, Training Accuracy: 81.26%, Validation Accuracy: 72.60%
Epoch [235/800], Training Loss: 0.4261, Training Accuracy: 84.33%, Validation Accuracy: 73.29%
Epoch [236/800], Training Loss: 0.4631, Training Accuracy: 81.84%, Validation Accuracy: 73.97%
Epoch [237/800], Training Loss: 0.4459, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [238/800], Training Loss: 0.4913, Training Accuracy: 81.55%, Validation Accuracy: 71.92%
Epoch [239/800], Training Loss: 0.4668, Training Accuracy: 81.11%, Validation Accuracy: 73.29%
Epoch [240/800], Training Loss: 0.4546, Training Accuracy: 82.43%, Validation Accuracy: 72.60%
Epoch [241/800], Training Loss: 0.4348, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [242/800], Training Loss: 0.4433, Training Accuracy: 83.75%, Validation Accuracy: 71.92%
Epoch [243/800], Training Loss: 0.4346, Training Accuracy: 85.65%, Validation Accuracy: 73.29%
Epoch [244/800], Training Loss: 0.4664, Training Accuracy: 81.41%, Validation Accuracy: 72.60%
Epoch [245/800], Training Loss: 0.4271, Training Accuracy: 84.04%, Validation Accuracy: 73.29%
Epoch [246/800], Training Loss: 0.4576, Training Accuracy: 82.43%, Validation Accuracy: 73.29%
Epoch [247/800], Training Loss: 0.4618, Training Accuracy: 84.19%, Validation Accuracy: 72.60%
Epoch [248/800], Training Loss: 0.4214, Training Accuracy: 83.89%, Validation Accuracy: 72.60%
Epoch [249/800], Training Loss: 0.4477, Training Accuracy: 82.58%, Validation Accuracy: 73.29%
Epoch [250/800], Training Loss: 0.4378, Training Accuracy: 85.36%, Validation Accuracy: 71.92%
Epoch [251/800], Training Loss: 0.4290, Training Accuracy: 84.33%, Validation Accuracy: 73.29%
Epoch [252/800], Training Loss: 0.4649, Training Accuracy: 83.46%, Validation Accuracy: 72.60%
Epoch [253/800], Training Loss: 0.4321, Training Accuracy: 83.02%, Validation Accuracy: 73.29%
Epoch [254/800], Training Loss: 0.4655, Training Accuracy: 83.31%, Validation Accuracy: 73.29%
Epoch [255/800], Training Loss: 0.4908, Training Accuracy: 81.26%, Validation Accuracy: 72.60%
Epoch [256/800], Training Loss: 0.4668, Training Accuracy: 80.82%, Validation Accuracy: 72.60%
Epoch [257/800], Training Loss: 0.4374, Training Accuracy: 82.72%, Validation Accuracy: 73.97%
Epoch [258/800], Training Loss: 0.4743, Training Accuracy: 82.28%, Validation Accuracy: 73.97%
Epoch [259/800], Training Loss: 0.4677, Training Accuracy: 82.28%, Validation Accuracy: 73.29%
Epoch [260/800], Training Loss: 0.4257, Training Accuracy: 83.60%, Validation Accuracy: 72.60%
Epoch [261/800], Training Loss: 0.4784, Training Accuracy: 79.65%, Validation Accuracy: 71.92%
Epoch [262/800], Training Loss: 0.4084, Training Accuracy: 84.04%, Validation Accuracy: 73.29%
Epoch [263/800], Training Loss: 0.4362, Training Accuracy: 84.19%, Validation Accuracy: 71.92%
Epoch [264/800], Training Loss: 0.4623, Training Accuracy: 83.89%, Validation Accuracy: 72.60%
Epoch [265/800], Training Loss: 0.4483, Training Accuracy: 82.72%, Validation Accuracy: 73.29%
Epoch [266/800], Training Loss: 0.3966, Training Accuracy: 85.21%, Validation Accuracy: 72.60%
Epoch [267/800], Training Loss: 0.4454, Training Accuracy: 83.46%, Validation Accuracy: 73.29%
Epoch [268/800], Training Loss: 0.4264, Training Accuracy: 85.51%, Validation Accuracy: 72.60%
Epoch [269/800], Training Loss: 0.4466, Training Accuracy: 85.65%, Validation Accuracy: 73.29%
Epoch [270/800], Training Loss: 0.4258, Training Accuracy: 83.02%, Validation Accuracy: 71.92%
Epoch [271/800], Training Loss: 0.4806, Training Accuracy: 81.55%, Validation Accuracy: 73.29%
Epoch [272/800], Training Loss: 0.4566, Training Accuracy: 83.89%, Validation Accuracy: 73.29%
Epoch [273/800], Training Loss: 0.4829, Training Accuracy: 79.21%, Validation Accuracy: 72.60%
