nohup: ignoring input
cuda
Mean: tensor([0.5820, 0.4493, 0.4435])
Std: tensor([0.1842, 0.1701, 0.1715])
Epoch [33/500], Training Loss: 1.0684, Training Accuracy: 60.61%, Validation Accuracy: 65.07%
Epoch [34/500], Training Loss: 1.0781, Training Accuracy: 58.42%, Validation Accuracy: 67.12%
Epoch [35/500], Training Loss: 1.0439, Training Accuracy: 59.59%, Validation Accuracy: 65.75%
Epoch [36/500], Training Loss: 1.0258, Training Accuracy: 60.61%, Validation Accuracy: 65.07%
Epoch [37/500], Training Loss: 1.0038, Training Accuracy: 60.47%, Validation Accuracy: 66.44%
Epoch [38/500], Training Loss: 0.9735, Training Accuracy: 63.10%, Validation Accuracy: 62.33%
Epoch [39/500], Training Loss: 0.9837, Training Accuracy: 62.23%, Validation Accuracy: 69.86%
Epoch [40/500], Training Loss: 1.0063, Training Accuracy: 60.76%, Validation Accuracy: 69.18%
Epoch [41/500], Training Loss: 0.9428, Training Accuracy: 65.01%, Validation Accuracy: 72.60%
Epoch [42/500], Training Loss: 0.9548, Training Accuracy: 64.86%, Validation Accuracy: 70.55%
Epoch [43/500], Training Loss: 0.9715, Training Accuracy: 62.37%, Validation Accuracy: 64.38%
Epoch [44/500], Training Loss: 0.9121, Training Accuracy: 64.28%, Validation Accuracy: 71.23%
Epoch [45/500], Training Loss: 0.9201, Training Accuracy: 64.86%, Validation Accuracy: 70.55%
Epoch [46/500], Training Loss: 0.9123, Training Accuracy: 65.01%, Validation Accuracy: 71.92%
Epoch [47/500], Training Loss: 0.8849, Training Accuracy: 66.03%, Validation Accuracy: 69.86%
Epoch [48/500], Training Loss: 0.8834, Training Accuracy: 67.94%, Validation Accuracy: 75.34%
Epoch [49/500], Training Loss: 0.9008, Training Accuracy: 65.59%, Validation Accuracy: 69.86%
Epoch [50/500], Training Loss: 0.8600, Training Accuracy: 66.33%, Validation Accuracy: 73.97%
Epoch [51/500], Training Loss: 0.8639, Training Accuracy: 68.67%, Validation Accuracy: 71.23%
Epoch [52/500], Training Loss: 0.8797, Training Accuracy: 66.76%, Validation Accuracy: 72.60%
Epoch [53/500], Training Loss: 0.8222, Training Accuracy: 68.52%, Validation Accuracy: 68.49%
Epoch [54/500], Training Loss: 0.8583, Training Accuracy: 68.23%, Validation Accuracy: 70.55%
Epoch [55/500], Training Loss: 0.8608, Training Accuracy: 68.08%, Validation Accuracy: 66.44%
Epoch [56/500], Training Loss: 0.8145, Training Accuracy: 68.52%, Validation Accuracy: 70.55%
Epoch [57/500], Training Loss: 0.8343, Training Accuracy: 68.08%, Validation Accuracy: 69.18%
Epoch [58/500], Training Loss: 0.8194, Training Accuracy: 67.94%, Validation Accuracy: 74.66%
Epoch [59/500], Training Loss: 0.7995, Training Accuracy: 68.96%, Validation Accuracy: 73.97%
Epoch [60/500], Training Loss: 0.8110, Training Accuracy: 69.40%, Validation Accuracy: 71.92%
Epoch [61/500], Training Loss: 0.7698, Training Accuracy: 70.42%, Validation Accuracy: 71.23%
Epoch [62/500], Training Loss: 0.7673, Training Accuracy: 70.42%, Validation Accuracy: 70.55%
Epoch [63/500], Training Loss: 0.8393, Training Accuracy: 66.91%, Validation Accuracy: 72.60%
Epoch [64/500], Training Loss: 0.7751, Training Accuracy: 72.91%, Validation Accuracy: 69.18%
Epoch [65/500], Training Loss: 0.7699, Training Accuracy: 71.45%, Validation Accuracy: 69.18%
Epoch [66/500], Training Loss: 0.7771, Training Accuracy: 70.72%, Validation Accuracy: 76.03%
Epoch [67/500], Training Loss: 0.7919, Training Accuracy: 69.25%, Validation Accuracy: 68.49%
Epoch [68/500], Training Loss: 0.7676, Training Accuracy: 70.72%, Validation Accuracy: 74.66%
Epoch [69/500], Training Loss: 0.7600, Training Accuracy: 72.62%, Validation Accuracy: 73.29%
Epoch [70/500], Training Loss: 0.7808, Training Accuracy: 69.55%, Validation Accuracy: 72.60%
Epoch [71/500], Training Loss: 0.7708, Training Accuracy: 69.11%, Validation Accuracy: 77.40%
Epoch [72/500], Training Loss: 0.7418, Training Accuracy: 71.45%, Validation Accuracy: 73.97%
Epoch [73/500], Training Loss: 0.7528, Training Accuracy: 71.16%, Validation Accuracy: 75.34%
Epoch [74/500], Training Loss: 0.7432, Training Accuracy: 71.60%, Validation Accuracy: 70.55%
Epoch [75/500], Training Loss: 0.7326, Training Accuracy: 73.21%, Validation Accuracy: 69.86%
Epoch [76/500], Training Loss: 0.7448, Training Accuracy: 73.21%, Validation Accuracy: 71.23%
Epoch [77/500], Training Loss: 0.7344, Training Accuracy: 72.62%, Validation Accuracy: 75.34%
Epoch [78/500], Training Loss: 0.7260, Training Accuracy: 71.60%, Validation Accuracy: 70.55%
Epoch [79/500], Training Loss: 0.7027, Training Accuracy: 73.21%, Validation Accuracy: 71.92%
Epoch [80/500], Training Loss: 0.7326, Training Accuracy: 71.30%, Validation Accuracy: 76.71%
Epoch [81/500], Training Loss: 0.6949, Training Accuracy: 73.06%, Validation Accuracy: 71.92%
Epoch [82/500], Training Loss: 0.7187, Training Accuracy: 73.06%, Validation Accuracy: 76.03%
Epoch [83/500], Training Loss: 0.7226, Training Accuracy: 72.77%, Validation Accuracy: 67.81%
Epoch [84/500], Training Loss: 0.7648, Training Accuracy: 70.86%, Validation Accuracy: 76.03%
Epoch [85/500], Training Loss: 0.7107, Training Accuracy: 72.62%, Validation Accuracy: 70.55%
Epoch [86/500], Training Loss: 0.6772, Training Accuracy: 72.33%, Validation Accuracy: 73.97%
Epoch [87/500], Training Loss: 0.6980, Training Accuracy: 73.06%, Validation Accuracy: 76.71%
Epoch [88/500], Training Loss: 0.7257, Training Accuracy: 71.01%, Validation Accuracy: 73.29%
Epoch [89/500], Training Loss: 0.7000, Training Accuracy: 73.79%, Validation Accuracy: 79.45%
Epoch [90/500], Training Loss: 0.7054, Training Accuracy: 72.91%, Validation Accuracy: 73.29%
Epoch [91/500], Training Loss: 0.6527, Training Accuracy: 77.01%, Validation Accuracy: 71.92%
Epoch [92/500], Training Loss: 0.6848, Training Accuracy: 72.91%, Validation Accuracy: 75.34%
Epoch [93/500], Training Loss: 0.6609, Training Accuracy: 74.38%, Validation Accuracy: 75.34%
Epoch [94/500], Training Loss: 0.6662, Training Accuracy: 74.38%, Validation Accuracy: 77.40%
Epoch [95/500], Training Loss: 0.6510, Training Accuracy: 74.82%, Validation Accuracy: 75.34%
Epoch [96/500], Training Loss: 0.6631, Training Accuracy: 73.79%, Validation Accuracy: 69.18%
Epoch [97/500], Training Loss: 0.6844, Training Accuracy: 72.91%, Validation Accuracy: 75.34%
Epoch [98/500], Training Loss: 0.6694, Training Accuracy: 74.23%, Validation Accuracy: 75.34%
Epoch [99/500], Training Loss: 0.6720, Training Accuracy: 74.23%, Validation Accuracy: 76.71%
Epoch [100/500], Training Loss: 0.6809, Training Accuracy: 73.94%, Validation Accuracy: 78.77%
Epoch [101/500], Training Loss: 0.6593, Training Accuracy: 75.70%, Validation Accuracy: 72.60%
Epoch [102/500], Training Loss: 0.6862, Training Accuracy: 74.52%, Validation Accuracy: 72.60%
Epoch [103/500], Training Loss: 0.6789, Training Accuracy: 74.38%, Validation Accuracy: 76.71%
Epoch [104/500], Training Loss: 0.6286, Training Accuracy: 74.23%, Validation Accuracy: 76.03%
Epoch [105/500], Training Loss: 0.6278, Training Accuracy: 75.55%, Validation Accuracy: 80.14%
Epoch [106/500], Training Loss: 0.6714, Training Accuracy: 73.79%, Validation Accuracy: 76.03%
Epoch [107/500], Training Loss: 0.6153, Training Accuracy: 75.40%, Validation Accuracy: 76.71%
Epoch [108/500], Training Loss: 0.6199, Training Accuracy: 75.84%, Validation Accuracy: 73.97%
Epoch [109/500], Training Loss: 0.5985, Training Accuracy: 77.45%, Validation Accuracy: 78.08%
Epoch [110/500], Training Loss: 0.6113, Training Accuracy: 75.26%, Validation Accuracy: 74.66%
Epoch [111/500], Training Loss: 0.6089, Training Accuracy: 77.01%, Validation Accuracy: 73.29%
Epoch [112/500], Training Loss: 0.5952, Training Accuracy: 77.89%, Validation Accuracy: 77.40%
Epoch [113/500], Training Loss: 0.6058, Training Accuracy: 77.89%, Validation Accuracy: 76.03%
Epoch [114/500], Training Loss: 0.6385, Training Accuracy: 73.50%, Validation Accuracy: 72.60%
Epoch [115/500], Training Loss: 0.6192, Training Accuracy: 74.08%, Validation Accuracy: 77.40%
Epoch [116/500], Training Loss: 0.6117, Training Accuracy: 76.57%, Validation Accuracy: 73.29%
Epoch [117/500], Training Loss: 0.6036, Training Accuracy: 75.40%, Validation Accuracy: 80.82%
Epoch [118/500], Training Loss: 0.6484, Training Accuracy: 76.13%, Validation Accuracy: 76.03%
Epoch [119/500], Training Loss: 0.5949, Training Accuracy: 77.89%, Validation Accuracy: 72.60%
Epoch [120/500], Training Loss: 0.6291, Training Accuracy: 75.70%, Validation Accuracy: 78.08%
Epoch [121/500], Training Loss: 0.5877, Training Accuracy: 77.01%, Validation Accuracy: 74.66%
Epoch [122/500], Training Loss: 0.5951, Training Accuracy: 77.89%, Validation Accuracy: 77.40%
Epoch [123/500], Training Loss: 0.5461, Training Accuracy: 80.38%, Validation Accuracy: 77.40%
Epoch [124/500], Training Loss: 0.5890, Training Accuracy: 77.75%, Validation Accuracy: 78.08%
Epoch [125/500], Training Loss: 0.6139, Training Accuracy: 75.70%, Validation Accuracy: 72.60%
Epoch [126/500], Training Loss: 0.6134, Training Accuracy: 76.87%, Validation Accuracy: 76.03%
Epoch [127/500], Training Loss: 0.5803, Training Accuracy: 76.28%, Validation Accuracy: 78.77%
Epoch [128/500], Training Loss: 0.5820, Training Accuracy: 77.60%, Validation Accuracy: 76.71%
Epoch [129/500], Training Loss: 0.6047, Training Accuracy: 77.01%, Validation Accuracy: 76.03%
Epoch [130/500], Training Loss: 0.5797, Training Accuracy: 76.28%, Validation Accuracy: 73.97%
Epoch [131/500], Training Loss: 0.5751, Training Accuracy: 79.94%, Validation Accuracy: 73.29%
Epoch [132/500], Training Loss: 0.5885, Training Accuracy: 78.77%, Validation Accuracy: 76.71%
Epoch [133/500], Training Loss: 0.5371, Training Accuracy: 79.65%, Validation Accuracy: 74.66%
Epoch [134/500], Training Loss: 0.6101, Training Accuracy: 78.18%, Validation Accuracy: 79.45%
Epoch [135/500], Training Loss: 0.5925, Training Accuracy: 76.72%, Validation Accuracy: 80.14%
Epoch [136/500], Training Loss: 0.5854, Training Accuracy: 77.16%, Validation Accuracy: 79.45%
Epoch [137/500], Training Loss: 0.5773, Training Accuracy: 77.45%, Validation Accuracy: 79.45%
Epoch [138/500], Training Loss: 0.5949, Training Accuracy: 76.57%, Validation Accuracy: 78.08%
Epoch [139/500], Training Loss: 0.5436, Training Accuracy: 79.65%, Validation Accuracy: 80.14%
Epoch [140/500], Training Loss: 0.5468, Training Accuracy: 79.94%, Validation Accuracy: 78.77%
Epoch [141/500], Training Loss: 0.5628, Training Accuracy: 78.04%, Validation Accuracy: 74.66%
Epoch [142/500], Training Loss: 0.5198, Training Accuracy: 79.36%, Validation Accuracy: 79.45%
Epoch [143/500], Training Loss: 0.5535, Training Accuracy: 78.33%, Validation Accuracy: 81.51%
Epoch [144/500], Training Loss: 0.5542, Training Accuracy: 78.48%, Validation Accuracy: 79.45%
Epoch [145/500], Training Loss: 0.5373, Training Accuracy: 79.21%, Validation Accuracy: 78.08%
Epoch [146/500], Training Loss: 0.5602, Training Accuracy: 79.65%, Validation Accuracy: 79.45%
Epoch [147/500], Training Loss: 0.5204, Training Accuracy: 79.21%, Validation Accuracy: 76.71%
Epoch [148/500], Training Loss: 0.4971, Training Accuracy: 80.82%, Validation Accuracy: 81.51%
Epoch [149/500], Training Loss: 0.5002, Training Accuracy: 82.28%, Validation Accuracy: 78.77%
Epoch [150/500], Training Loss: 0.5226, Training Accuracy: 80.09%, Validation Accuracy: 80.82%
Epoch [151/500], Training Loss: 0.5399, Training Accuracy: 79.65%, Validation Accuracy: 80.14%
Epoch [152/500], Training Loss: 0.5230, Training Accuracy: 79.94%, Validation Accuracy: 77.40%
Epoch [153/500], Training Loss: 0.5335, Training Accuracy: 78.77%, Validation Accuracy: 77.40%
Epoch [154/500], Training Loss: 0.5192, Training Accuracy: 79.06%, Validation Accuracy: 78.77%
Epoch [155/500], Training Loss: 0.5477, Training Accuracy: 78.77%, Validation Accuracy: 74.66%
Epoch [156/500], Training Loss: 0.5046, Training Accuracy: 81.55%, Validation Accuracy: 78.77%
Epoch [157/500], Training Loss: 0.5219, Training Accuracy: 78.62%, Validation Accuracy: 78.77%
Epoch [158/500], Training Loss: 0.5121, Training Accuracy: 79.50%, Validation Accuracy: 79.45%
Epoch [159/500], Training Loss: 0.5434, Training Accuracy: 79.80%, Validation Accuracy: 77.40%
Epoch [160/500], Training Loss: 0.5136, Training Accuracy: 79.65%, Validation Accuracy: 80.14%
Epoch [161/500], Training Loss: 0.5323, Training Accuracy: 77.75%, Validation Accuracy: 81.51%
Epoch [162/500], Training Loss: 0.5141, Training Accuracy: 81.11%, Validation Accuracy: 76.71%
Epoch [163/500], Training Loss: 0.4953, Training Accuracy: 81.11%, Validation Accuracy: 80.14%
Epoch [164/500], Training Loss: 0.4933, Training Accuracy: 80.53%, Validation Accuracy: 79.45%
Epoch [165/500], Training Loss: 0.5115, Training Accuracy: 81.26%, Validation Accuracy: 78.08%
Epoch [166/500], Training Loss: 0.5353, Training Accuracy: 80.38%, Validation Accuracy: 78.08%
Epoch [167/500], Training Loss: 0.5103, Training Accuracy: 80.38%, Validation Accuracy: 79.45%
Epoch [168/500], Training Loss: 0.5069, Training Accuracy: 79.94%, Validation Accuracy: 74.66%
Epoch [169/500], Training Loss: 0.4926, Training Accuracy: 79.94%, Validation Accuracy: 80.82%
Epoch [170/500], Training Loss: 0.5142, Training Accuracy: 78.33%, Validation Accuracy: 76.71%
Epoch [171/500], Training Loss: 0.4807, Training Accuracy: 82.43%, Validation Accuracy: 80.82%
Epoch [172/500], Training Loss: 0.4916, Training Accuracy: 81.55%, Validation Accuracy: 78.08%
Epoch [173/500], Training Loss: 0.4969, Training Accuracy: 81.26%, Validation Accuracy: 77.40%
Epoch [174/500], Training Loss: 0.4932, Training Accuracy: 80.38%, Validation Accuracy: 79.45%
Epoch [175/500], Training Loss: 0.4913, Training Accuracy: 81.99%, Validation Accuracy: 79.45%
Epoch [176/500], Training Loss: 0.4642, Training Accuracy: 83.31%, Validation Accuracy: 80.14%
Epoch [177/500], Training Loss: 0.4755, Training Accuracy: 81.70%, Validation Accuracy: 80.82%
Epoch [178/500], Training Loss: 0.4687, Training Accuracy: 81.41%, Validation Accuracy: 81.51%
Epoch [179/500], Training Loss: 0.4730, Training Accuracy: 81.70%, Validation Accuracy: 83.56%
Epoch [180/500], Training Loss: 0.4889, Training Accuracy: 81.26%, Validation Accuracy: 78.77%
Epoch [181/500], Training Loss: 0.4572, Training Accuracy: 83.16%, Validation Accuracy: 80.14%
Epoch [182/500], Training Loss: 0.4706, Training Accuracy: 81.70%, Validation Accuracy: 78.77%
Epoch [183/500], Training Loss: 0.4836, Training Accuracy: 82.87%, Validation Accuracy: 81.51%
Epoch [184/500], Training Loss: 0.4678, Training Accuracy: 82.43%, Validation Accuracy: 80.82%
Epoch [185/500], Training Loss: 0.4767, Training Accuracy: 81.41%, Validation Accuracy: 79.45%
Epoch [186/500], Training Loss: 0.4679, Training Accuracy: 80.23%, Validation Accuracy: 80.14%
Epoch [187/500], Training Loss: 0.4640, Training Accuracy: 81.55%, Validation Accuracy: 73.97%
Epoch [188/500], Training Loss: 0.4816, Training Accuracy: 80.38%, Validation Accuracy: 81.51%
Epoch [189/500], Training Loss: 0.4488, Training Accuracy: 82.14%, Validation Accuracy: 81.51%
Epoch [190/500], Training Loss: 0.4387, Training Accuracy: 83.75%, Validation Accuracy: 79.45%
Epoch [191/500], Training Loss: 0.4782, Training Accuracy: 83.46%, Validation Accuracy: 77.40%
Epoch [192/500], Training Loss: 0.4557, Training Accuracy: 83.16%, Validation Accuracy: 82.88%
Epoch [193/500], Training Loss: 0.4684, Training Accuracy: 84.04%, Validation Accuracy: 78.77%
Epoch [194/500], Training Loss: 0.4381, Training Accuracy: 84.04%, Validation Accuracy: 82.19%
Epoch [195/500], Training Loss: 0.4302, Training Accuracy: 82.72%, Validation Accuracy: 78.77%
Epoch [196/500], Training Loss: 0.4610, Training Accuracy: 83.31%, Validation Accuracy: 79.45%
Epoch [197/500], Training Loss: 0.4654, Training Accuracy: 80.82%, Validation Accuracy: 80.14%
Epoch [198/500], Training Loss: 0.4517, Training Accuracy: 83.60%, Validation Accuracy: 82.88%
Epoch [199/500], Training Loss: 0.4493, Training Accuracy: 84.19%, Validation Accuracy: 82.19%
Epoch [200/500], Training Loss: 0.4570, Training Accuracy: 82.58%, Validation Accuracy: 81.51%
Epoch [201/500], Training Loss: 0.4601, Training Accuracy: 81.70%, Validation Accuracy: 81.51%
Epoch [202/500], Training Loss: 0.4529, Training Accuracy: 82.28%, Validation Accuracy: 82.88%
Epoch [203/500], Training Loss: 0.4739, Training Accuracy: 82.58%, Validation Accuracy: 84.25%
Epoch [204/500], Training Loss: 0.4507, Training Accuracy: 83.75%, Validation Accuracy: 81.51%
Epoch [205/500], Training Loss: 0.4472, Training Accuracy: 83.75%, Validation Accuracy: 80.14%
Epoch [206/500], Training Loss: 0.4273, Training Accuracy: 83.89%, Validation Accuracy: 78.77%
Epoch [207/500], Training Loss: 0.4689, Training Accuracy: 82.72%, Validation Accuracy: 83.56%
Epoch [208/500], Training Loss: 0.4566, Training Accuracy: 84.92%, Validation Accuracy: 81.51%
Epoch [209/500], Training Loss: 0.4236, Training Accuracy: 83.02%, Validation Accuracy: 80.14%
Epoch [210/500], Training Loss: 0.4265, Training Accuracy: 83.46%, Validation Accuracy: 80.14%
Epoch [211/500], Training Loss: 0.4138, Training Accuracy: 84.19%, Validation Accuracy: 81.51%
Epoch [212/500], Training Loss: 0.4556, Training Accuracy: 82.72%, Validation Accuracy: 80.14%
Epoch [213/500], Training Loss: 0.4546, Training Accuracy: 84.04%, Validation Accuracy: 80.82%
Epoch [214/500], Training Loss: 0.3943, Training Accuracy: 83.60%, Validation Accuracy: 79.45%
Epoch [215/500], Training Loss: 0.4191, Training Accuracy: 84.33%, Validation Accuracy: 82.19%
Epoch [216/500], Training Loss: 0.4200, Training Accuracy: 81.99%, Validation Accuracy: 80.14%
Epoch [217/500], Training Loss: 0.4627, Training Accuracy: 83.31%, Validation Accuracy: 82.88%
Epoch [218/500], Training Loss: 0.4067, Training Accuracy: 83.31%, Validation Accuracy: 81.51%
Epoch [219/500], Training Loss: 0.4252, Training Accuracy: 84.77%, Validation Accuracy: 81.51%
Epoch [220/500], Training Loss: 0.4095, Training Accuracy: 83.16%, Validation Accuracy: 83.56%
Epoch [221/500], Training Loss: 0.4070, Training Accuracy: 85.65%, Validation Accuracy: 80.82%
Epoch [222/500], Training Loss: 0.4107, Training Accuracy: 83.89%, Validation Accuracy: 81.51%
Epoch [223/500], Training Loss: 0.4533, Training Accuracy: 83.46%, Validation Accuracy: 78.77%
Epoch [224/500], Training Loss: 0.3849, Training Accuracy: 85.80%, Validation Accuracy: 82.19%
Epoch [225/500], Training Loss: 0.4038, Training Accuracy: 83.75%, Validation Accuracy: 78.08%
Epoch [226/500], Training Loss: 0.4183, Training Accuracy: 84.77%, Validation Accuracy: 78.77%
Epoch [227/500], Training Loss: 0.3994, Training Accuracy: 85.80%, Validation Accuracy: 82.88%
Epoch [228/500], Training Loss: 0.4040, Training Accuracy: 86.24%, Validation Accuracy: 83.56%
Epoch [229/500], Training Loss: 0.4053, Training Accuracy: 83.60%, Validation Accuracy: 82.19%
Epoch [230/500], Training Loss: 0.3854, Training Accuracy: 85.51%, Validation Accuracy: 82.19%
Epoch [231/500], Training Loss: 0.4166, Training Accuracy: 83.31%, Validation Accuracy: 81.51%
Epoch [232/500], Training Loss: 0.3852, Training Accuracy: 83.75%, Validation Accuracy: 82.19%
Epoch [233/500], Training Loss: 0.4077, Training Accuracy: 83.02%, Validation Accuracy: 80.82%
Epoch [234/500], Training Loss: 0.3910, Training Accuracy: 84.48%, Validation Accuracy: 80.82%
Epoch [235/500], Training Loss: 0.3781, Training Accuracy: 86.09%, Validation Accuracy: 80.82%
Epoch [236/500], Training Loss: 0.3939, Training Accuracy: 85.21%, Validation Accuracy: 82.88%
Epoch [237/500], Training Loss: 0.3885, Training Accuracy: 85.51%, Validation Accuracy: 80.82%
Epoch [238/500], Training Loss: 0.3896, Training Accuracy: 86.09%, Validation Accuracy: 81.51%
Epoch [239/500], Training Loss: 0.3808, Training Accuracy: 86.09%, Validation Accuracy: 82.19%
Epoch [240/500], Training Loss: 0.3826, Training Accuracy: 85.51%, Validation Accuracy: 80.82%
Epoch [241/500], Training Loss: 0.3821, Training Accuracy: 85.07%, Validation Accuracy: 80.82%
Epoch [242/500], Training Loss: 0.3919, Training Accuracy: 85.07%, Validation Accuracy: 80.14%
Epoch [243/500], Training Loss: 0.3599, Training Accuracy: 86.24%, Validation Accuracy: 78.77%
Epoch [244/500], Training Loss: 0.3816, Training Accuracy: 85.80%, Validation Accuracy: 83.56%
Epoch [245/500], Training Loss: 0.4008, Training Accuracy: 85.21%, Validation Accuracy: 81.51%
Epoch [246/500], Training Loss: 0.3781, Training Accuracy: 85.51%, Validation Accuracy: 80.82%
Epoch [247/500], Training Loss: 0.3867, Training Accuracy: 84.77%, Validation Accuracy: 82.88%
Epoch [248/500], Training Loss: 0.4056, Training Accuracy: 85.07%, Validation Accuracy: 78.77%
Epoch [249/500], Training Loss: 0.3655, Training Accuracy: 85.80%, Validation Accuracy: 83.56%
Epoch [250/500], Training Loss: 0.3666, Training Accuracy: 86.82%, Validation Accuracy: 80.82%
Epoch [251/500], Training Loss: 0.3791, Training Accuracy: 85.80%, Validation Accuracy: 81.51%
Epoch [252/500], Training Loss: 0.3503, Training Accuracy: 87.70%, Validation Accuracy: 82.88%
Epoch [253/500], Training Loss: 0.3668, Training Accuracy: 85.65%, Validation Accuracy: 80.82%
Epoch [254/500], Training Loss: 0.3852, Training Accuracy: 85.36%, Validation Accuracy: 80.82%
Epoch [255/500], Training Loss: 0.3350, Training Accuracy: 87.55%, Validation Accuracy: 81.51%
Epoch [256/500], Training Loss: 0.3755, Training Accuracy: 86.68%, Validation Accuracy: 81.51%
Epoch [257/500], Training Loss: 0.3836, Training Accuracy: 85.94%, Validation Accuracy: 82.88%
Epoch [258/500], Training Loss: 0.3596, Training Accuracy: 86.68%, Validation Accuracy: 84.25%
Epoch [259/500], Training Loss: 0.4140, Training Accuracy: 85.80%, Validation Accuracy: 81.51%
Epoch [260/500], Training Loss: 0.3702, Training Accuracy: 86.68%, Validation Accuracy: 82.88%
Epoch [261/500], Training Loss: 0.3609, Training Accuracy: 85.94%, Validation Accuracy: 80.82%
Epoch [262/500], Training Loss: 0.3874, Training Accuracy: 84.92%, Validation Accuracy: 81.51%
Epoch [263/500], Training Loss: 0.3648, Training Accuracy: 86.09%, Validation Accuracy: 80.14%
Epoch [264/500], Training Loss: 0.3144, Training Accuracy: 89.31%, Validation Accuracy: 83.56%
Epoch [265/500], Training Loss: 0.3643, Training Accuracy: 86.24%, Validation Accuracy: 81.51%
Epoch [266/500], Training Loss: 0.3717, Training Accuracy: 85.07%, Validation Accuracy: 80.82%
Epoch [267/500], Training Loss: 0.3515, Training Accuracy: 86.68%, Validation Accuracy: 82.19%
Epoch [268/500], Training Loss: 0.3409, Training Accuracy: 88.29%, Validation Accuracy: 81.51%
Epoch [269/500], Training Loss: 0.3688, Training Accuracy: 85.21%, Validation Accuracy: 81.51%
Epoch [270/500], Training Loss: 0.3402, Training Accuracy: 87.85%, Validation Accuracy: 80.82%
Epoch [271/500], Training Loss: 0.3443, Training Accuracy: 87.26%, Validation Accuracy: 83.56%
Epoch [272/500], Training Loss: 0.3507, Training Accuracy: 87.26%, Validation Accuracy: 81.51%
Epoch [273/500], Training Loss: 0.3542, Training Accuracy: 86.82%, Validation Accuracy: 81.51%
Epoch [274/500], Training Loss: 0.3295, Training Accuracy: 86.38%, Validation Accuracy: 80.14%
Epoch [275/500], Training Loss: 0.3720, Training Accuracy: 86.53%, Validation Accuracy: 84.93%
Epoch [276/500], Training Loss: 0.3428, Training Accuracy: 87.41%, Validation Accuracy: 78.77%
Epoch [277/500], Training Loss: 0.3381, Training Accuracy: 86.24%, Validation Accuracy: 82.88%
